"reference_name","snapperdb_db_name","ncbi_accession","genome_filename"
"RT001_BI9","RT001_BI9","FN668944.1","RT001_BI9.fa"
"RT001_Liv24","RT001_Liv24",,"RT001_Liv24.fa"
"RT002_TL178","RT002_TL178",,"RT002_TL178.fa"
"RT012_CD630","RT012_CD630",,"RT012_CD630.fa"
"RT014_TL176","RT014_TL176",,"RT014_TL176.fa"
"RT015_TL174","RT015_TL174",,"RT015_TL174.fa"
"RT017_CF5","RT017_CF5",,"RT017_CF5.fa"
"RT017_M68","RT017_M68",,"RT017_M68.fa"
"RT023_CD305","RT023_CD305",,"RT023_CD305.fa"
"RT027_CD196","RT027_CD196","FN538970.1","RT027_CD196.fa"
"RT078_CDM120","RT078_CDM120",,"RT078_CDM120.fa"
"RT106_Liv22","RT106_liv22",,"RT106_Liv22.fa"
